title,type,org,link
KIBO: Commission on Human Rights Digital Archive,,Commission on Human Rights of the Philippines,https://curatory.tech/chr-kibo/
She Changed the World,curated exhibit from CONTENTdm,North Carolina Digital Collections,https://she-changed-world.cb.ncpedia.org/
NCF Special Formats Collection,digital collection skin,New College of Florida,https://dss.ncf.edu/digitalcollections/specialformats/
Founding Stories,oral history project,University of Washington Tacoma,https://uwtacomalibrary.github.io/foundingstories/
Annotated Alvin Josephy,library catalog,Josephy Library Collections,https://library.josephy.org/annotated/
Colors of Ozu,research exhibit,Dave Rodriguez (Florida State University),https://drodz11.github.io/colors-of-ozu/
Beaverhead Mine Documents,digital collection,Montana Bureau of Mines and Geology,https://mbmg.mtech.edu/Information/Collections/Mine-Files/Beaverhead/
W.K. Kellogg Arabian Horse Library Postcard and Notecard Collection,special exhibit prototype,"California State Polytechnic University, Pomona",https://cpplibrary.github.io/postcards-compound/
And They Called It Vancouver,archives exhibit,Ashlynn Prasad (University of British Columbia),https://ubc-library-rbsc.github.io/langmann-2021/
Namibia Heritage Week 2020,,Namibia University of Science and Technology,http://dna.nust.na/heritage_week/
Geodata Listing,library data catalog,Brock University DSL,https://brockdsl.github.io/geodata-listing/
eXOspACES,MFA show catalog,Jonathan S Matteson (MFA),https://jsmatteson.github.io/eXOspACES/
Wyoming Oral History Online,centralized resource portal,Wyoming State Historical Society,https://oralhistory.wyshs.org/
Red Interamericana Anti Femicidio,organization resources,RIAF,https://riaf.red/
"Apartheid Heritage(s) Digital Archive: A spatial history of apartheid in Soweto, South Africa",exhibit,CassieConnected,https://cassieconnected.github.io/AHDigitalArchive/
Muskuy Yachay Archives,collection related to doctoral dissertation, Lisa Warren Carney,https://lwcarney.github.io/muskuyarchive/
Chocolates Juncosa,research collection,Lauren Pena and Rodovaldo Lopez,https://laurenpv85.github.io/Unexpected-Collections/ 
Cognitive Decline & Language,bibliography project,"Research Centre for Language, Cognition, and Neuroscience",https://archivesw.github.io/cogfigcollection/
Memoria Sonora de Bogotá,dissertation project in Spanish,lparisb (University of Los Andes),https://lparisb.github.io/memoriasonorabogota/
Football in America,class project,Katherine Walden (Notre Dame),https://kwaldenphd.github.io/nd-archives/
Mineral and Rock Collection,personal exhibit,Irene Lewis,https://ilewis13.github.io/Mineral-and-Rock-Collection/
Urban Family Recipe Collection,personal recipe collection,katiemik,https://katiemik.github.io/urban-family-recipe-collection/
The Boldest 19th Century Dare Devils,student class project,luanaamatuzio,https://luanaamatuzio.github.io/The-Boldest-19th-Century-Dare-Devils/ 
Gertzel Library Publish Material,catalog exhibit,Gertzel Library,https://infoliterati.github.io/Gertzel_collection/
Michigan Register 1984-1998,curated archive collection,Tim Watters,https://temoshee.github.io/michiganregister/
"The Victorian Jewish Writers Project",resource catalog,Brandon Katzir (Oklahoma State),https://victorianjewishwritersproject.org/
